title,genre,score,synopsis
Kärlek & Anarki,"Comedy, Drama, Romance",7.4,"A new young priest begins his duty on a small island. He assumes that the service should not be to demanding, so that he will be able to finish his doctoral thesis. But the life at sea is hard with severe accidents. He faces emotionally difficult situations related to both love and death."
MacGruber,"Action, Comedy",7.2,"In the Dzhugdzhur Mountains, Eastern Siberia, the criminal Dieter Von Cunth steals a Russian X5 nuclear warhead. Colonel James Faith travels to Rio Bamba, Ecuador, with the efficient Lieutenant Dixon Piper to summon the retired special operative MacGruber to retrieve the X5. MacGruber is considered deceased after the death of his beloved wife Casey by his archenemy Cunth in their wedding. MacGruber teams up with Piper and Vicki St. Elmo and they learn that the evil Cunth intends to use the warhead to destroy Washington D.C."
Jett,"Crime, Drama, Thriller",7.4,"World-class thief Daisy ""Jett"" Kowalski is just out of prison and already being forced back into what got her there, by a group of eccentric and dangerous criminals."
We Are Lady Parts,"Comedy, Music",8.2,"A look at the highs and lows of the band members that make up a Muslim female punk band, Lady Parts, as seen through the eyes of Amina Hussein, a geeky PhD student who is recruited to be their unlikely lead guitarist."
Beyond Belief: Fact or Fiction,"Mystery, Thriller, Fantasy",7.9,"Within the course of one hour 5 stories are shown. None of these stories have any logical explanation, and some of them actually occurred. You are left to decide which of these stories, if any are fact, and which are fiction."
Arthur,"Animation, Adventure, Comedy",7.4,"Arthur (Russell Brand) is a rich, alcoholic playboy with no regards to his working life. After another drunken run-in with the law, his aloof mother has had enough and forces him to marry Susan (Jennifer Garner), a proper business woman, or else he will lose his inheritance. Just as he's engaged to Susan, he meets Naomi (Greta Gerwig), a free-spirited girl who Arthur thinks is perfect for him. Any attempts at holding down a job are fruitless, so Arthur has to decide, what is more important: love, or his mother's money."
The Secret World of Alex Mack,"Comedy, Drama, Family",7.5,"A teenage girl, just starting junior high and living in a modern corporate community, is accidentally contaminated by a secret chemical product of The Plant. She acquires mysterious abilities that allow her to change her shape, move objects with her mind, and zap people and objects with small electrical charges. The owners of The Plant continually seek to find out which of the local kids has been contaminated so they can experiment on her, but their employees are less than competent and the search is comedic and futile."
Cars on the Road,"Animation, Adventure, Comedy",7.0,Lightning McQueen and Mater go on a cross-country road trip to see Mater's sister.
Gran Hotel,"Crime, Drama, History",8.3,"In 1905, young Julio arrives at the Grand Hotel, an idyllic place in the middle of the countryside, to investigate his sister's disappearance. He gets a job as a waiter and comes across the owner's sexy, wealthy daughter. He falls in love with her and starts a dangerous affair while she becomes the only person who will help him discover the truth about his sister's disappearance. Find out all the secrets and mysteries hidden in the wonderful Grand Hotel."
The Night Shift,"Drama, Romance",7.4,A group of doctors from the Army return to work the night shift at a hospital in San Antonio.
Wiseguy,"Crime, Drama, Mystery",7.8,"Vinnie Terranova (Ken Wahl) does time in a New Jersey penitentiary to set up his undercover role as an Agent for the O.C.B. (Organized Crime Bureau) of the United States. His roots in a traditional Italian city neighborhood form the underlying dramatic base throughout the series, bringing him into conflict with his conservative mother Carlotta (Elsa Raven) and other family members while acting undercover as a syndicate enforcer. The segments, which ran several shows each, included in-depth and empathetic characterizations of the players on both sides of the law. Scenarios include the underbelly of the recording industry, protection rackets, international arms dealing, foiling white supremacist plotters, uncovering a government conspiracy to set up a compliant new head of state in a third-world country, and Vinnie's final reconciliation with his Italian mother and her new husband, the purely legendary Mafia figure Don Rudy Aiuppo (George Petrie)."
Close Enough,"Animation, Action, Adventure",7.8,"A stoner couple in their twenties deal with life situations in Los Angeles, California with their friends such as raising a daughter, fighting a loose possum in their apartment, and outrunning giant mutant spiders -- all the regular things to worry about in early adulthood."
The Twilight Zone,"Drama, Fantasy, Horror",7.2,"The Twilight Zone is a place that exists at any moment of time, of space or of mind....but always when you least expect it. When you find yourself in this realm of unlimited possibility, be careful what you say or do. The right decisions may help you find your way back out....sometimes with greater happiness and wealth. The wrong decisions often lead to madness and death, or an eternity trapped in this dimension. Tread warily past the sign post ahead that says you've entered, The Twilight Zone"
You Me Her,"Comedy, Drama, Romance",7.0,"What begins as an impulsive ""date"" between suburban husband Jack and neophyte escort Izzy, spins into a whirlwind three-way sexual affair including Jack's wife Emma, who has been keeping secrets of her own. Over a span of just 10 days, their ""arrangement"" breaks free of its financial bonds to become something else entirely: A real romance, with real stakes, involving three real people, confronting viewers with the compelling question: What if your best, truest, happiest life looked nothing like you thought it would? Would you be brave enough to live it?"
The High Chaparral,Western,7.6,The Cannon family runs the High Chaparral Ranch in the Arizona Territory in 1870s. Big John wants to establish his cattle empire despite Indian hostility. He's aided by brother Buck and son Billy Blue. When Blue's mother was killed (in the first episode) John united his family with the powerful Montoyas by marrying their daughter Victoria (whose brother Manolito now lives with them as well).
Studio 60 on the Sunset Strip,"Comedy, Drama",8.3,A behind-the-scenes look at a fictional sketch-comedy television show.
One Foot in the Grave,"Comedy, Drama",7.9,"In this classic bittersweet sitcom from award-winning writer David Renwick, Richard Wilson plays the short-tempered Victor Meldrew, a man who doesn't suffer fools gladly, and to his misery frequently encounters them as well as enduring endless misfortune. His long-suffering wife Margaret (Annette Crosbie) struggles to cope with his rants against the world and the bad luck that befalls them. The hilarity that ensures is underpinned by a poignant, often darker edge little seen in most sitcoms."
Rocket Boys,"Drama, History",8.9,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future."
Horrible Histories,"Comedy, Family, History",8.8,"Horrible histories is a British program for all ages. The writers have made learning history entertaining, with funny skits, spin offs of TV shows like; Wife Swap (Historical Wife Swap), Master Chef (Historical Master Chef), and Fashion Fix (Historical Fashion Fix). It teaches us history through songs too."
Wielka woda,Drama,7.2,N/A
Star Wars: Clone Wars,"Animation, Action, Adventure",7.8,"Before the rise of the Galactic Empire, there was the Old Republic and the advent of the Clone Wars. Taking place after Star Wars: Episode II - Attack of the Clones (2002) and showing the events that lead into Star Wars: Episode III - Revenge of the Sith (2005), Star Wars: Clone Wars (2003) shows the Jedi Council's finest hour and how this war changes the galaxy forever."
Avengers Assemble,"Animation, Action, Adventure",7.0,Can the world's most powerful team of Super Heroes put aside their differences and learn to live together under one roof long enough to save the world from ultimate destruction? The answer will be revealed when the Red Skull and M.O.D.O.K. wage war on The Avengers.
The Get Down,"Drama, Music, Musical",8.2,"The Get Down focuses on 1970s New York City - broken down and beaten up, violent, cash strapped -- dying. Consigned to rubble, a rag-tag crew of South Bronx teenagers are nothings and nobodies with no one to shelter them - except each other, armed only with verbal games, improvised dance steps, some magic markers and spray cans. From Bronx tenements, to the SoHo art scene; from CBGBs to Studio 54 and even the glass towers of the just-built World Trade Center, The Get Down is a mythic saga of how New York at the brink of bankruptcy gave birth to hip-hop, punk and disco -- told through the lives and music of the South Bronx kids who changed the city, and the world...forever."
Kara Sevda,"Drama, Romance",7.4,The impossible love of two people belonging to different socio-economic classes.
We Are Who We Are,Drama,7.3,Two American teenagers come of age while living on an American military base in Italy.
Andi Mack,"Comedy, Drama, Family",7.3,"A contemporary coming-of-age story about a girl who's trying to determine where she fits in. When her free-spirited older sister returns, she drops a revelation that changes everything and sends Andi on an uncharted course of self-discovery."
Detroiters,Comedy,8.1,"Single camera, buddy comedy that centers on Sam (Richardson) and Tim (Robinson), two local ad men who make low budget commercials in Detroit, Michigan. But the two best friends, much like the city in which they live, aspire to achieve great things."
Persuasion,"Action, Drama, Family",7.4,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Fredrick Wentworth the dashing one she once sent away crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances."
Narco-saints,"Action, Biography, Crime",7.3,The life-threatening journey of a civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service.
DNA,"Crime, Drama, Mystery",7.4,"Rolf Larsen, once a respected detective on the Copenhagen police force, has his life brutally upended when his baby daughter goes missing in a tragic accident. Rolf is devastated from grief, but five years after the tragedy, a new lead emerges when a serious flaw is uncovered in the Danish police's national DNA database. Realizing that his daughter may still be alive, Rolf tries to find out what really happened to her by investigating a parallel case with ties to an international child trafficking ring. Rolf will get help from Claire, a seasoned French investigator who is working on a similar case."
Thundercats,"Animation, Action, Adventure",7.9,"The inhabitants of the planet Thundera evacuate just before it is destroyed. They were pursued by a band of mutants. All but one of their escape ships was destroyed. Only a small group of Thunderans (Thundercats) remained. With only half engine power, the group, which was led by Jaga, had to set a course for the nearest planet. Jaga commanded their ship while the other 7 were in their stasis tubes. Jaga died on their journey to Third Earth and their ship crashed there. Soon they made friends with various groups in the area and they designed a fortress. Mumm-Ra the centuries-old embodiment of evil, along with the mutants that destroyed the rest of the Thunderans are a constant threat. But Lion-O, the new leader of the Thundercats, with his weapon the ""Sword of Omens"" will help the Thundercats to have a standing chance."
Popular,"Comedy, Drama, Romance",7.3,"The two girls who are seen in their fictional Jacqueline Kennedy High School as the leaders of two main opposing cliques, the popular one and the not so popular one, clash heads when their single parents meet, fall in love and decide to get hitched. However, both the girls and their two cliques slowly grow together and become an unlikely group of friends with both typical and not so typical high school and young adult problems. Brooke McQueen is the captain of Glamazons, the school's cheerleading squad. She's considered smart, beautiful and perfect. Privately, she's been dealing with self-image and body image issues ever since her estranged mother left her and her father. She also tries to fight the popular image people have of her. She wants to be good and does good and often helps people instead of thinking only about herself but she also has a suppressed selfish side. Sam McPherson aims to have the opposite image of Brooke's. She's attracted to journalism and wants to be the voice of nonconformists. Despite this, she has several flaws like being too judgmental, underestimating people or ignoring the fact that she sometimes acts hypocritically, especially when it comes to love. Her anger partially stems from the trauma of losing her father to leukemia. Lily Esposito is the schools top environmentalist, animal and human rights activist and an all-around liberal On the other hand, she has a fear of sex and sexuality and this creates problems in her relationships with men. She's Sam's friend and so is Harrison John, the ultimate friend-zoned guyfriend, who's been friends with both Brooke and Sam for a long time and has a crush on Brooke ever since childhood but also feels certain attraction to Sam. These three friends make the ultimate love triangle. Carmen Ferrara is a slightly overweight girl, who tries to deal with her body issues by trying to accept and enjoy who she is. Despite being friends with Sam's group, her dream is to become one of the Glamazons and be friends with the popular girls as well and she goes for it. Josh Ford is the school's hot popular quarterback, who at first seems like a walking jock stereotype but actually has a lot of depth and is for the most part a nice guy. He dates Brooke at first and they become the school's ultimate power couple but he eventually decides to quit trying to be what other people want him to be and become his own man. Nicole Julian is the second in command of Glamazons but always wants more power and influence. She's assertive, smart, cynical, egotistical, Machiavellian, combative and attractive and she knows it. She sees herself as the Queen B of the school and wants everyone to know it and respect it. She does not play fair and wants to see all her real and perceived enemies destroyed. The only people she respects are Gwyneth Paltrow and for the most part Brooke. However, she sometimes shows her suppressed empathic side and in those moments she becomes a true friend. Michael 'Sugar Daddy' Bernardino is Josh's towering best friend. He's cheerful, fun, acts like a rapper, takes the simple approach to life but also suffers from morbid obesity. He doesn't let this bother him though and uses his size to his advantage when playing football with Josh for the school's team. Mary Cherry is Nicole's larger than life, super rich, both genuinely quirky and amusingly psychotic, best friend and a Glamazon, although Nicole usually treats her like her sidekick. Jane McPherson is Sam's loving mom. Mike McQueen is Brooke's loving dad. The two meet and fall in love which eventually leads to marriage. Brooke and Sam can't accept this and even do their best to try to break them up but the girls eventually see the upside of becoming stepsisters, which doesn't stop them from occasionally stabbing each other in the back. Bobbi Glass is the gang's conservative, androgynous, charismatic, ingenious, commanding, tyrannical female biology, science and chemistry teacher and a true frienemy who always comes up with creative ways to put her students down but she also has a somewhat of an empathic side to her. She has several twin brothers and sisters. April Tuna is the school's scary unhinged psychotic nerdy ginger with a potent sex drive, but boys avoid her nonetheless. She leads the actual unpopular kids from the fringes of high school society and has her eye on Harrison. Emory Dick is Harrison's self-confident geeky friend who doesn't even try to fit in and likes it that way. He's always ready to help his friends and often comes up with silly creative plans that sometime actually make things worse. Poppita Fresh is the African American Glamazon and fits in perfectly with Nicole and Mary Cherry. George Austin is a smart, nice, hot, and caring African American jock, who falls for Sam and she reciprocates. Freddy Gong is the school's uneasy Asian American student, who has a strange masochistic rapport with Nicole. Principal Cecilia Hall is the school's caring blind principal who always tries to be just and help the students as well as protect the school's interests. Vice-Principal Calvin Krupps arrives later to help the school deal with conflicts between students. He's a very smart man, who doesn't mind playing games or confronting students openly if he believes that some good will come of it. Principal Hall eventually disappears from the show and he becomes the schools acting principal and he and Ms. Glass become buds. Godfrey is Ms. Glass' very strange on and off boyfriend who eventually becomes a priest. Cherry Cherry is Mary Cherry's super rich super charismatic no-nonsense mother and businesswoman who talks tough and acts accordingly. Her dream is to marry the real life actor Erik Estrada and when she wants something, she means business. The show's plots, arcs and subplots range from creative quirky over the top parodies to enhanced reality situations and typical high school drama. Due to unforeseen cancellation, the show ends on a huge cliffhanger."
The Sarah Jane Adventures,"Action, Adventure, Drama",7.4,"How do you adjust to life after you've seen all of time and space? Sarah Jane Smith had every adventure possible until she had the one adventure she never dreamed of: she had a family. With her son Luke and her brave teen companions, Sarah Jane and Co. save the world when the doctor's not around."
The Kids in the Hall,Comedy,8.4,"""The Kids in the Hall"" are a sketch comedy troupe, set apart by their cross-dressing antics and seemingly infinite supply of unique characters. Although writer Paul Bellini, various extras, and sometimes even an actual woman appear in the sketches, for the most part, the five main cast members portray every single character themselves. Recurring characters range from the harried corporate executive Danny Husk to Queen Elizabeth, from alienated teen rocker Bobby Tarrance to gay bar owner Buddy Cole, from occult TV show host Simon and his sidekick Hecubus to the gossiping corporate secretaries Cathy and Kathy, and an endless parade of others."
Salute Your Shorts,"Comedy, Drama, Family",8.3,It's about seven kids at summer camp and all the things they do and about friends sticking with each other. While they try to out smart the counselor.
The Chair,"Comedy, Drama",7.2,"Dr. Ji-Yoon Kim as she navigates her new role as the Chair of the English department at prestigious Pembroke University. Ji-Yoon is faced with a unique set of challenges as the first woman to chair the department, and as one of the few staff members of color at the university."
"Upstairs, Downstairs",Drama,8.4,"In 1936, Sir Hallam Holland (Ed Stoppard) and his pretty young wife Lady Agnes (Keeley Hawes) return from a diplomatic posting abroad and take up residence at 165 Eaton Place, formerly the home of the Bellamy family but vacant for several years. By chance, they ask Rose Buck (Jean Marsh), a long-time servant in the Bellamy household, to find them a suitable staff. In the end, Rose joins them as the housekeeper. The 1930s are a difficult time in England. The Depression has taken its toll with high levels of unemployment. Fascism, which has become popular on the continent in Italy and Germany, is also finding followers in the U.K. with Oswald Mosely's British Union of Fascists. As the new staff begin their daily work, the downstairs family begins to take shape."
Içerde,"Action, Crime, Drama",8.1,"When Sarp's brother Umut disappears and is presumed dead, his mother hangs onto his memory for dear life. Sarp blames himself for having lost him and is still haunted by the loss. Just as Sarp is to graduate from the police academy he is assigned to infiltrate the mafia syndicate run by the mob boss, Celal. He believes by succeeding with his mission he will finally find peace in his mind and soul. When getting further involved in Celal's world, Sarp also finds himself developing deep feelings for the mob boss's protégé, Melek. She was taken off the streets begging as a small child by Celal, alongside a little boy, Mert. Sarp eventually discovers that Mert is his long lost brother who in turn is embarking on his own mission for Celal. Suddenly the siblings are reunited but not as two brothers but two opponents on different side of the law. Will the brotherly love succeed to overcome all differences and heal wounded hearts?"
Tate no Yuusha no Nariagari,"Animation, Action, Adventure",7.9,"Stage play adaptation of Aneko Yusagi's light novel series ""The Rising of the Shield Hero""."
Mocro maffia,Crime,8.2,"Mocro Mafia is a fictional crime series about the three best friends Romano, Pencil and The Pope. Together they made the transition from petty crime to serious crime. Before they know it they own the entire cocaine trade in Amsterdam. By jealousy, the group of friends falls apart, which causes them to be diametrically opposed."
State of the Union,"Short, Comedy, Drama",7.7,"Louise and Tom who meet in a pub immediately before their weekly marital therapy session. Each episode pieces together how their lives were, what drew them together, and what has started to pull them apart."
Mum,Comedy,8.3,"After the death of her husband, a woman attempts to rebuild her life while surrounded by her sometimes problematic family and friends."
Queer as Folk,Drama,8.2,"Based on the British series of the same name, Showtime's 'Queer as Folk' presents the American version. Following the lives of five gay men in Pittsburgh, 'Queer as Folk' is a riveting drama full of sex, drugs, adventure, friendship and love. Although the creators of 'Queer as Folk' wanted to present an honest depiction of gay life, it is by no means a comprehensive depiction. In addition to the usual sexual escapades and relationships of the five friends, the show explores critical gay political and health issues."
Jesse Stone: Innocents Lost,"Crime, Drama",7.0,"After his involuntary retirement, Jesse Stone investigates the suspicious death of a young friend while the Paradise police force deals with the arrogant new chief, who is the son-in-law of a town councilman."
Night Gallery,"Drama, Fantasy, Horror",7.9,"Similar in format to Serling's much more famous ""Twilight Zone"" series. Each week we get a new tale, represented by a painting in an old museum. Whereas the tales in ""Twilight Zone"" were more science fiction, these tales have a darker, more horrific edge."
Forensic Files,"Documentary, Crime",8.8,"Police increasingly utilize scientific laboratory analysis to solve crimes. This program reviews and re-enacts dramatic cases from around the world in which forensic scientists find and examine previously undetectable evidence. Through their hard work, criminals are brought to justice and the innocent are set free."
Hey Arnold!,"Animation, Comedy, Drama",7.6,"The adventures of a daydreaming, jazz-loving, football-headed 9-year-old, who lives in a boarding house with his grandparents and some eccentric boarders; encounters life in the city with his best friend Gerald, a loofah-haired kid who is the keeper of the urban tales and coolest kid in class; and is tormented by Helga, who loves him secretly."
Mr. Iglesias,Comedy,7.1,A good-natured high school teacher working at his alma mater works with gifted but misfit and disinterested students.
Reaper,"Adventure, Comedy, Drama",7.8,"On his 21st birthday, Sam discovers his parents sold his soul to the devil before birth and he must now be a bounty hunter for the devil until he dies."
For Life,"Biography, Crime, Drama",7.6,A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.
Horimiya,"Animation, Comedy, Drama",8.1,"At first glance, the ultra-popular Kyoko Hori seems like a frivolous high school girl, but in reality, she's simple, pragmatic, and family-oriented. On the other hand, the bespectacled Miyamura Izumi comes across as an average, gloomy high school fanboy, but he's actually an attractive young man who has a bad-boy streak and is covered in piercings and tattoos. When these two unexpectedly similar classmates have a random run-in outside of the classroom, a bubbly, sweet tale of school life begins."
Swagger,"Drama, Sport",7.2,Inspired by Kevin Durant's youth basketball playing experience on the AAU circuit.
Engrenages,"Crime, Drama, Mystery",8.5,"The original series follows a murder investigation and reveals the cooperation, conflict, transgression and corruption within the French legal system from the perspective of the lead ..."
Mr. Show with Bob and David,Comedy,8.4,This is a sketch-comedy show. The twist here is that all of the sketches (even the monologue) are connected in some strange way.
Stanley Tucci: Searching for Italy,"Documentary, Reality-TV",8.6,"Stanley Tucci travels across Italy to discover the secrets and delights of the country's regional cuisines. Viewers will go along with him as he enjoys the luxurious creamy carbonara of Rome, the delicious simplicity of Sicily's pasta alla Norma, the saffron-infused silkiness of risotto in Milan, the crispy tenderness of bistecca alla fiorentina, the perfect classic ragu alla bolognese and the world's best pizza in Naples. Tucci comes prepared with a bottomless appetite for it all, showing us how the diversity of Italian cooking offers a gateway through which you can glimpse Italy's history and culture."
Life Unexpected,Drama,7.5,"15-year-old foster-care vet Lux has finally decided to become an emancipated minor. During her journey through the legal maze, she finds her biological father, 32-year-old Nate ""Baze"" Bazile, who lives above a bar and is astonished to learn that he has a daughter, and finally her biological mother, Cate Cassidy, a local-radio star with a fiancé, Ryan Thomas. A judge decides to grant temporary custody of Lux to Baze and Cate instead of emancipating her."
The Benny Hill Show,Comedy,7.6,"A sketch-comedy series in which Hill would often play multiple characters and satirize popular British and American performers and stars. Common themes in the show were the husband-beating wife, buxom women, and silent, high-speed chase scenes between Hill and the other characters."
Hazbin Hotel,"Animation, Comedy, Crime",7.7,"Hazbin Hotel is the story of Charlie, the princess of Hell, as she pursues her seemingly impossible goal of rehabilitating demons to peacefully reduce overpopulation in her kingdom. She opens a hotel in hopes that patients will be ""checking out"" into Heaven. While most of Hell mocks her goal, her devoted partner Vaggie, and their first test subject, adult film-star Angel Dust, stick by her side. When a powerful entity known as the ""Radio Demon"" reaches out to Charlie to assist in her endeavors, her crazy dream is given a chance to become a reality."
The Gift,"Drama, Fantasy, Mystery",7.0,"Simon and Robyn are a young married couple whose life is going just as planned until a chance encounter with an acquaintance from Simon's high school sends their world into a harrowing tailspin. Simon doesn't recognize Gordo at first, but after a series of uninvited encounters and mysterious gifts prove troubling, a horrifying secret from the past is uncovered after more than 20 years. As Robyn learns the unsettling truth about what happened between Simon and Gordo, she starts to question: how well do we really know the people closest to us, and are past bygones ever really bygones?"
Locke & Key,"Adventure, Drama, Horror",7.2,"Leaving the construction site on the eve of a major project, construction manager Ivan Locke receives news that sends him driving the two hours from Birmingham to London, but even further from the life he once knew. Making the decision that he has to make, he then calls his wife, his sons, his co-workers and boss telling them the secret that he is bearing and trying to keep his job and family intact. But even more importantly, he will have to face himself and the choices he has made."
The Passage,"Action, Adventure, Drama",7.2,"When a botched U.S. government experiment turns a group of death row inmates into highly infectious vampires, an orphan girl might be the only person able to stop the ensuing crisis."
Legit,Comedy,8.1,Jim and his put upon friends try to learn what it means to be a good person.
One Mississippi,"Comedy, Drama",7.5,"This semi-autobiographical dark comedy starring Tig Notaro follows her as she returns to her hometown after the sudden death of her mother. Still reeling from her own declining health problems, Tig struggles to find her footing with the loss of the one person in her life who understood her. All while dealing with her clingy girlfriend and her dysfunctional family."
We Hunt Together,"Crime, Drama, Thriller",7.0,"A gripping twist on a classic cat-and-mouse story, this British drama series explores the intoxication of sexual attraction and the dangerous power of emotional manipulation. As two conflicted detectives track down a pair of deadly killers, the series reveals how finding a volatile form of solace in another can have dire consequences."
Bonding,"Comedy, Drama",7.1,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.
30 Monedas,"Drama, Fantasy, Horror",7.1,"A filmmaker watches his savings disappear on a failed project and loses his house. He is forced to move to a house he inherited, and promptly suffers a stroke. He is left wheelchair-bound, and his wife takes over the running of the household. They decide to sell his latest film to mysterious producers, and their house is suddenly besieged by paranormal activity."
Undeclared,Comedy,7.9,"Misadventures of college freshman Steven Karp, his fellow freshman and first ever girlfriend Lizzie Exley, Steven's self-confidant sophisticated womanizing British college roommate Lloyd Haythe, Lizzie's endearing college roommate with a wild side Rachel Lindquist, Steven's chubby happy-go-lucky college roommate Ron Garner, Steven's weird college roommate Marshall Nesbitt, Lizzie's loving but obsessive ex boyfriend Eric, and Steven's sympathetic geeky dad, who's just been dumped by Steven's mom which triggered his midlife crisis."
Hand of God,"Crime, Drama",7.5,A morally-corrupt judge suffers a breakdown and believes God is compelling him onto a path of vigilante justice.
Speechless,Comedy,7.5,The family of a special-needs teen is good at dealing with the challenges he faces - and excellent at creating new ones.
Rake,"Comedy, Drama",8.5,"On any single day, Cleaver Greene is described as many things. Whilst his ex-wife may call him 'unreliable', his son will call him 'a mate'. To his learned friends at the bar table he is 'a real wag', to his jurors he is 'hilarious', and to most judges he is 'an outrage'. To the Tax Office, he is 'a defendant', to a certain brothel owner 'a legend', and to his former cocaine dealer 'a tragic loss'."
Suburgatory,Comedy,7.2,"Tessa Altman is used to the big city, but when her dad moves her away, she has to adapt to her new suburban life in Chatswin."
Fame,"Drama, Music, Musical",7.0,"At the New York City High School for the Performing Arts, students get specialized training that often leads to success as actors, singers, etc. This movie follows eight students from the time when they audition to get into the school, through graduation. Among these are the brazen Coco Hernandez, shy Doris Finsecker, sensitive gay Montgomery MacNeil, and brash, abrasive Ralph Garcy."
Chen qing ling,"Action, Adventure, Drama",8.8,"There are rumors of a ""Lighting Murder Case"" in Fufeng. Wen Ning starts his investigation when he arrives in Fufeng and finds a man and his sister were murdered. At night, a fight breaks out between a mysterious black shadow and Wen Ning. His old acquaintance Lan Sizhui suddenly appears when the shadow escapes. Through joint efforts of Wen Ning and Lan Sizhui, the two finally solve the mystery and seize the criminal."
Pørni,"Comedy, Drama",8.1,"Pørni is about the dilemmas that you end up in when you, to the best of your abilities, try to do the right thing for your loved ones, and yourself. In that order. Pørni has two daughters with a jerk of an ex who has moved to Copenhagen, who focuses mainly on himself. She has a father who is in some sort of teenage phase, and she has responsibility for her 15-year-old nephew, after her sister died in a car accident not so long ago. In addition, Pørni works in child welfare, where she likes the county lawyer Bjørnar. Pørni is about being a complete person, in a normal, but challenging life."
Dennis the Menace,"Comedy, Family",7.0,"Everyone's favorite kid from the comics is back. When his parents have to go out of town, he stays with George (Walter Matthau) and Martha Wilson (Dame Joan Plowright). The little menace is driving Mr. Wilson crazy, but Dennis Mitchell (Mason Gamble) is just trying to be helpful. Even to the thief who's arrived in town."
Being Erica,"Adventure, Comedy, Drama",7.7,"""Therapist"" Dr. Tom - who is constantly spouting famous and not so famous historical quotes - is Erica Strange's savior and worst enemy. Erica, a young adult woman, is having a bad life because of the bad decisions she's made. Erica provides Dr. Tom with a long list of those pivotal moments in her life that she feels have led to the bad state she is in today. Erica is initially unaware of what Dr. Tom is intending on doing with this list. What he does do is transport her back in time to each of those moments so that she, with all the knowledge of her present day life, can make better decisions to fix her life. Regardless of these new decisions, Dr. Tom hopes that Erica will come to the realization that although the opinions of others about her life do matter, it's what she thinks of her decisions and her life that are more important."
Law & Order: UK,"Crime, Drama, Mystery",7.7,"Clyde Shelton's family is brutally murdered. The ones responsible are caught. However, because of improper procedure, the D.A., Nick Rice only has circumstantial evidence. So he decides to get one of them to testify against the other. When Shelton learns of this, he is not happy. Ten years later, the one who was convicted is being executed but something goes wrong; his execution goes awry and he suffers. They learn that someone tampered with the machine. And the other one is found dead, killed in a gruesome manner. Rice suspects Shelton, so he has him picked up. At first, Shelton agrees to a plea agreement with Rice but changes his mind. It appears that Shelton is not done, it appears he blames the whole system and is declaring war on it going after everyone involved with his family's case. So Rice has to stop him but Shelton is way ahead of him."
We Bare Bears,"Animation, Adventure, Comedy",7.9,"Three brother bears awkwardly attempt to find their place in civilized society, whether they're looking for food, trying to make human friends, or scheming to become famous on the internet. Grizzly, Panda and Ice Bear stack atop one another when they leave their cave and explore the hipster environs of the San Francisco Bay Area, and it's clear the siblings have a lot to learn about a technologically driven world. By their side on many adventures are best friend Chloe (the only human character in the cast), fame-obsessed koala Nom Nom, and Charlie, aka Bigfoot."
Codename: Kids Next Door,"Animation, Action, Adventure",7.2,"Codename: Kids Next Door follows the escapades of five eager, yet bumbling, ten-year-olds as they join forces against adulthood to fight for the right to enjoy all the fun things in life. These principled kids tackle the really important issues facing their peers, like the right to stay up late or to eat whatever they want. But when taking a stand is just not enough, this crew embarks on top secret missions on behalf of children everywhere, utilizing fantastic homemade technology like flying machines and catapults, to accomplish their goals. Like any good team, the agents in Codename: Kids Next Door each have their own distinct identities, skills and personalities. Numbuh One is Nigel Uno, the British-accented leader of the group. Hoagie P. Gilliam, a mechanical genius and expert pilot, is known as Numbuh Two. Diversionary tactics are the specialty of Kiki Sanban, also known as Numbuh Three. Brash and impulsive Numbuh Four (Wallabee Beatles) is a master of hand to hand combat. And Numbuh Five, alias Abigail ""Abby"" Lincoln, is the quiet one with the most common sense. Whether it's the possibility of getting shipped off to summer camp, battling the imposition of adult swim time at the local swimming pool, or clashing with adult enemies such as Gramma Stuffum, Knightbrace, Mr. Wink and Mr. Fibb, these kids have their work cut out for them."
Please Like Me,"Comedy, Drama, Romance",8.5,"After breaking up with his girlfriend, Josh comes to the realization that he is homosexual. With the support of his now ex girlfriend Claire, and his best friend and house mate Tom, Josh must help his mother with her battle with depression and the rest of his family embrace his new found orientation. All of this becomes a little more complicated when he explores his sexuality with a young and handsome Geoffrey."
The Tuskegee Airmen,"Drama, History, War",7.1,"During the Second World War, a special project is begun by the US Army Air Corps to integrate African American pilots into the Fighter Pilot Program. Known as the ""Tuskegee Airman"" for the name of the airbase at which they were trained, these men were forced to constantly endure harassement, prejudice, and much behind the scenes politics until at last they were able to prove themselves in combat."
